"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Labelled energy consumption (kWh/year)","ExpDate","Availability Status","Star2","screensize (inches)","screensize_category"
"HISENSE","75U80G","Australia,New Zealand",189.34,"LCD (LED)",1060,"2026-03-17","Available",2.5,74.54,"large"
"SAMSUNG ELECTRONICS","QA85QN90AAW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",945,"2026-02-18","Available",4,84.56,"large"
"BAUHN","ATV70UHDW-0321","Australia",176.57,"LCD",405,"2026-03-10","Available",6,69.52,"large"
"TEAC","LE75L521","Australia,Fiji,New Zealand",189.274,"LCD (LED)",750,"2026-03-01","Available",4,74.52,"large"
"SAMSUNG ELECTRONICS","BE75A-H","Australia,Fiji,New Zealand",189.306,"LCD (LED)",525,"2026-02-23","Available",5.5,74.53,"large"
"HYUNDAI","H75WK31","Australia,Fiji,New Zealand",189.274,"LCD (LED)",750,"2026-03-01","Available",4,74.52,"large"
"Linsar","LS82UHDNF","Australia,Fiji,New Zealand",207.183,"LCD (LED)",651,"2026-03-11","Available",5.5,81.57,"large"
"Kogan","KALED70TU9220SKA","Australia,Fiji,New Zealand",176.555,"LCD (LED)",550,"2026-03-17","Available",4.5,69.51,"large"
"DEVANTI","STV-311W-UHD-75","Australia,Fiji,New Zealand",189.34,"LCD (LED)",760,"2026-03-29","Available",4,74.54,"large"
"LG","75QNED99TPB","Australia,New Zealand",189.275,"LCD (LED)",904,"2026-03-17","Available",3,74.52,"large"
"LG","86QNED99TPB","Australia,New Zealand",217.425,"LCD (LED)",1280,"2026-03-18","Available",2.5,85.60,"large"
"LG","75QNED91TPA","Australia,New Zealand",189.275,"LCD (LED)",594,"2026-03-18","Available",5,74.52,"large"
"Skyworth","86SUC9500","Australia,Fiji,New Zealand",217.427,"LCD (LED)",893,"2026-03-17","Available",4.5,85.60,"large"
"Sony","XR-75X95J","Australia,New Zealand",189.306,"LCD",763,"2026-03-17","Available",4,74.53,"large"
"Sony","XR-85X95J","Australia,New Zealand",214.783,"LCD",818,"2026-03-17","Available",4.5,84.56,"large"
"LG","86QNED91TPA","Australia,New Zealand",217.425,"LCD (LED)",776,"2026-03-18","Available",5,85.60,"large"
"EKO","K70USW","Australia",176.566,"LCD (LED)",572,"2026-04-15","Available",4.5,69.51,"large"
"TCL","75C835","Australia,Fiji,New Zealand",189.306,"LCD (LED)",1130,"2027-04-10","Available",2,74.53,"large"
"TCL","115X955 Max","Australia,Fiji,New Zealand",290.719,"LCD (LED)",2652,"2029-05-30","Available",2,114.46,"large"
"PHILIPS","58BFL2114/12","Australia,Fiji,New Zealand",146.068,"LCD (LED)",322,"2026-02-22","Available",5.5,57.51,"medium"
"PHILIPS","55HFL6114U/12","Australia,Fiji,New Zealand",138.783,"LCD (LED)",319,"2026-02-22","Available",5,54.64,"medium"
"BAUHN","ATV58UHDW-0421","Australia",146.068,"LCD (LED)",301,"2026-03-11","Available",6,57.51,"medium"
"JVC","AV-H587115A","Australia,Fiji",145.865,"LCD (LED)",468,"2026-03-03","Available",4,57.43,"medium"
"JVC","AV-H657115A","Australia,Fiji",163.791,"LCD (LED)",580,"2026-03-09","Available",4,64.48,"medium"
"KOGAN","KALED55RT9220SVA","Australia,Fiji,New Zealand",138.783,"LCD (LED)",320,"2026-03-23","Available",5,54.64,"medium"
"SAMSUNG ELECTRONICS","QA50Q80AAS","Australia,Fiji,New Zealand",125.725,"LCD (LED)",470,"2026-02-24","Available",2.5,49.50,"medium"
"KOGAN","KALED65RT9210SVA","Australia,Fiji,New Zealand",163.896,"LCD (LED)",385,"2026-03-09","Available",5.5,64.53,"medium"
"SAMSUNG ELECTRONICS","BE50A-H","Australia,Fiji,New Zealand",125.725,"LCD (LED)",335,"2026-02-23","Available",4,49.50,"medium"
"SAMSUNG ELECTRONICS","BE55A-H","Australia,Fiji,New Zealand",138.711,"LCD (LED)",310,"2026-02-24","Available",5,54.61,"medium"
"SAMSUNG ELECTRONICS","BE65A-H","Australia,Fiji,New Zealand",163.829,"LCD (LED)",426,"2026-02-24","Available",5,64.50,"medium"
"BLAUPUNKT","BP580USG9300","Australia,Fiji,New Zealand",146.068,"LCD (LED)",370,"2026-03-01","Available",5,57.51,"medium"
"HISENSE","65A7G","Australia,New Zealand",163.896,"LCD (LED)",458,"2026-04-12","Available",5,64.53,"medium"
"HISENSE","50A7G","Australia,New Zealand",125.731,"LCD (LED)",254,"2026-04-12","Available",5.5,49.50,"medium"
"HISENSE","55A7G","Australia,New Zealand",138.783,"LCD (LED)",304,"2026-04-12","Available",5.5,54.64,"medium"
"PHILIPS","55OLED935/79","Australia,Fiji,New Zealand",138.798,"OLED",829,"2026-03-18","Available",1,54.64,"medium"
"Linsar","LS65UHDNF","Australia,Fiji,New Zealand",163.896,"LCD (LED)",371,"2026-03-12","Available",6,64.53,"medium"
"Sony","XR-65X95J","Australia,New Zealand",163.878,"LCD",642,"2026-03-22","Available",3.5,64.52,"medium"
"TCL","55C635","Australia,Fiji,New Zealand",138.711,"LCD (LED)",320,"2027-03-22","Available",5,54.61,"medium"
"TCL","65C635","Australia,Fiji,New Zealand",163.829,"LCD (LED)",410,"2027-03-17","Available",5.5,64.50,"medium"
"LG","OLED55C2PSC","Australia,New Zealand",138.783,"OLED",349,"2026-11-30","Available",4.5,54.64,"medium"
"LG","OLED65C2PSC","Australia,New Zealand",163.897,"OLED",411,"2026-12-05","Available",5.5,64.53,"medium"
"JVC","AV-H323115A","Australia,Fiji",80.054,"LCD (LED)",130,"2026-02-18","Available",5,31.52,"small"
"JVC","AV-H437115A","Australia,Fiji",107.901,"LCD (LED)",235,"2026-02-18","Available",4.5,42.48,"small"
"Altius","AT24CFHD-BCF","Australia,Fiji,New Zealand",60.47,"LCD (LED)",67,"2026-02-23","Unavailable",6,23.81,"small"
"SAMSUNG ELECTRONICS","BE43A-H","Australia,Fiji,New Zealand",107.95,"LCD (LED)",255,"2026-02-23","Available",4,42.50,"small"
"HISENSE","32A4G","Australia,New Zealand",80.04,"LCD (LED)",104,"2026-04-12","Available",6,31.51,"small"
"HISENSE","40A4G","Australia,New Zealand",100.332,"LCD (LED)",135,"2026-05-21","Available",6,39.50,"small"
"HISENSE","43A7G","Australia,New Zealand",107.986,"LCD (LED)",240,"2026-05-21","Available",4.5,42.51,"small"
"kogan","KALED32RH9210STB","Australia,Fiji,New Zealand",79.967,"LCD (LED)",104,"2026-04-23","Available",6,31.48,"small"
"CAIXUN","LE-32K1","Australia,New Zealand",80.19,"LCD",98,"2026-04-30","Available",6,31.57,"small"
"CAIXUN","LE-43N1","Australia,Fiji,New Zealand",107.988,"LCD",220,"2026-04-28","Available",4.5,42.51,"small"
"CAIXUN","LE-40N1","Australia,New Zealand",100.266,"LCD",155,"2026-04-29","Available",5.5,39.47,"small"
"PHILIPS","19HFL5014W/12","Australia,Fiji,New Zealand",47.013,"LCD (LED)",61,"2026-04-28","Available",5,18.51,"small"
"LG","43UR640S0TD","Australia,New Zealand",107.987,"LCD (LED)",291,"2026-04-26","Available",3.5,42.51,"small"
"TOSHIBA","43C350KP","Australia,New Zealand",107.986,"LCD (LED)",269,"2026-06-09","Available",4,42.51,"small"
"SHARP","2T-C32BG1X","Australia,Fiji,New Zealand",80.034,"LCD (LED)",125,"2026-06-17","Available",5,31.51,"small"
"CHiQ","L32G7H","Australia,Fiji,New Zealand",79.967,"LCD (LED)",104,"2026-06-07","Available",6,31.48,"small"
"CHiQ","U43G7H","Australia,Fiji,New Zealand",107.863,"LCD (LED)",240,"2026-06-07","Available",4.5,42.47,"small"
"SAMSUNG ELECTRONICS","HG43Q60AAAW","Australia,Fiji,New Zealand",107.95,"LCD (LED)",255,"2026-06-21","Available",4,42.50,"small"
"KOGAN","KALED19PRIZB","Australia,Fiji,New Zealand",47.013,"LCD (LED)",62,"2026-06-25","Available",5,18.51,"small"
"TCL","32S5400AF","Australia,Fiji,New Zealand",79.967,"LCD (LED)",110,"2028-06-03","Available",5.5,31.48,"small"
"TCL","40S5400A","Australia,Fiji,New Zealand",100.305,"LCD (LED)",180,"2028-06-03","Available",5,39.49,"small"
"Sony","KD-32W830K","Australia,New Zealand",80.054,"LCD (LED)",132,"2026-11-23","Available",4.5,31.52,"small"
"Sony","KD-43X75K","Australia,New Zealand",107.95,"LCD (LED)",261,"2026-11-15","Available",4,42.50,"small"
